No.	Microbe	NCBI Taxonomy id
187	Corynebacterium resistens DSM 45100	662755
188	Corynebacterium striatum ATCC 6940	525268
189	Cronobacter turicensis z3032	693216
190	Cryomorphaceae	246874
191	Cyanobacteria	1117
192	Deferribacter desulfuricans SSM1	639282
193	Deferribacteres phylum	200930
194	Dehalobacterium n.a.	51514
195	Deltaproteobacteria	28221
196	Dermacoccus sp. Ellin185	188626
197	Desulfotalea psychrophila LSv54	177439
198	Desulfovibrio alaskensis G20	207559
199	Desulfovibrionaceae	194924
200	Desulfurispirillum indicum S5	653733
201	Dialister	39948
202	Dickeya dadantii 3937	198628
203	Dickeya dadantii Ech586	590409
204	Dickeya dadantii Ech703	579405
205	Dickeya zeae Ech1591	561229
206	Dorea longicatena	88431
207	Edwardsiella ictaluri 93-146	634503
208	Eggerthella	84111
209	Elusimicrobia	641853
210	Enterobacter aerogenes KCTC 2190	1028307
211	Enterobacter asburiae LF7a	640513
212	Enterobacter cloacae EcWSU1	1045856
213	Enterobacter cloacae subsp. cloacae ATCC 13047	716541
214	Enterobacter cloacae subsp. cloacae NCTC 9394	718254
215	Enterobacter lignolyticus SCF1	701347
216	Enterobacter sp. 638	399742
217	Enterococcaceae family	81852
218	Enterococcus casseliflavus EC1 	565654
219	Enterorhabdus	580024
220	Erwinia amylovora ATCC 49946	716540
221	Erwinia billingiae Eb661	634500
222	Erwinia tasmaniensis Et1/99	465817
223	Escherichia albertii TW07627	502347
224	Escherichia coli BL21(DE3)	469008
225	Escherichia coli TW10509	656449
226	Eubacteriaceae	186806
227	Eubacterium hallii	39488
228	Eubacterium limosum KIST612	903814
229	Eubacterium plexicaudatum	97253
230	Eubacterium ventriosum	39496
231	Faecalibacterium cf. prausnitzii KLE1255	748224
232	Flavobacteria	117743
233	Fusobacteriaceae	203492
234	Fusobacterium	848
235	Fusobacterium necrophorum D12	556263
236	Fusobacterium nucleatum subsp. polymorphum ATCC 10953	393480
237	Fusobacterium nucleatum subsp. vincentii 4_1_13	469606
238	Gemella genus	1378
239	Gemmatimonadetes	219685
240	Gilliamella apicola	1196095
241	Granulicatella elegans ATCC 700633	626369
242	Haemophilus	724
243	Haemophilus parainfluenzae	729
244	Helicobacter	209
245	Helicobacter mustelae 12198	679897
246	Helicobacteraceae	72293
247	Herpetosiphonales	189772
248	Hippea maritima DSM 10411	760142
249	Holdemanella	1573535
250	Holdemania	61170
251	Hyphomicrobium	81
252	Intestinibacter genus	1505657
253	Intestinimonas	1392389
254	Jeotgalicoccus	227979
255	Johnsonella	43994
256	Klebsiella oxytoca KCTC 1686	1006551
257	Raoultella planticola	575
258	Klebsiella pneumoniae 342	507522
259	Lachnoclostridium	1506553
260	Lachnospira	28050
261	Lactobacillaceae	33958
262	Lactobacillus acidophilus ATCC 4796	525306
263	Lactobacillus amylolyticus DSM 11664	585524
264	Lactobacillus animalis	1605
265	Lactobacillus brevis subsp. gravesensis ATCC 27305	525310
266	Lactobacillus delbrueckii subsp. lactis DSM 20072	888027
267	Lactobacillus fermentum CECT 5716	712938
268	Lactobacillus gasseri JV-V03	525326
269	Lactobacillus jensenii 1153	440497
270	Lactobacillus johnsonii NCC 533	257314
271	Lactobacillus ruminis SPM0211	1040964
