543	13	1
547	13	1
436	13	1
83	203	1
65	203	1
33	203	1
592	242	1
484	242	1
547	142	1
75	142	1
22	142	1
23	142	1
37	142	1
61	142	1
13	142	1
41	142	1
14	142	1
43	142	1
479	142	1
516	142	1
70	142	1
402	142	1
543	39	1
547	39	1
605	39	1
606	39	1
63	39	1
479	39	1
484	39	1
83	39	1
529	39	1
65	39	1
561	39	1
65	63	1
33	63	1
29	63	1
41	63	1
45	23	1
529	23	1
605	23	1
69	23	1
61	23	1
61	23	1
63	23	1
14	23	1
516	23	1
529	27	1
84	27	1
436	27	1
63	27	1
479	27	1
14	267	1
416	267	1
34	267	1
33	267	1
34	267	1
482	267	1
529	267	1
485	19	1
529	19	1
83	19	1
33	19	1
563	19	1
58	19	1
480	30	1
33	30	1
2	30	1
46	30	1
1	30	1
545	30	1
47	30	1
33	67	1
610	67	1
395	67	1
33	152	1
608	152	1
14	231	1
539	2	1
539	2	1
539	2	1
456	2	1
27	2	1
485	2	1
518	2	1
529	2	1
83	2	1
83	2	1
65	2	1
35	2	1
33	2	1
33	2	1
33	2	1
547	2	1
547	2	1
561	2	1
563	2	1
563	2	1
453	2	1
503	2	1
503	2	1
503	2	1
503	2	1
490	2	1
490	2	1
439	2	1
439	2	1
84	2	1
34	2	1
34	2	1
34	2	1
34	2	1
34	2	1
526	2	1
400	2	1
572	2	1
78	2	1
37	2	1
29	2	1
67	2	1
49	2	1
61	2	1
13	2	1
13	2	1
41	2	1
58	2	1
58	2	1
14	2	1
444	2	1
479	2	1
608	2	1
595	2	1
595	2	1
513	2	1
516	2	1
516	2	1
9	2	1
413	2	1
433	2	1
518	2	1
529	2	1
83	2	1
13	2	1
33	2	1
27	9	1
485	9	1
529	9	1
83	9	1
547	9	1
563	9	1
416	9	1
605	9	1
436	9	1
436	9	1
63	9	1
41	9	1
41	9	1
449	9	1
516	9	1
12	9	1
70	9	1
402	9	1
9	9	1
27	41	1
45	41	1
518	41	1
529	41	1
543	41	1
480	41	1
33	41	1
505	41	1
453	41	1
500	41	1
495	41	1
605	41	1
609	41	1
610	41	1
473	41	1
398	41	1
84	41	1
1	41	1
497	41	1
69	41	1
63	41	1
41	41	1
58	41	1
395	41	1
479	41	1
513	41	1
70	41	1
562	41	1
563	81	1
605	81	1
479	81	1
462	81	1
518	70	1
529	70	1
65	70	1
605	70	1
484	42	1
27	20	1
453	20	1
37	20	1
45	20	1
83	20	1
27	20	1
34	20	1
41	20	1
65	20	1
75	20	1
608	20	1
399	20	1
518	20	1
567	20	1
597	20	1
83	20	1
400	20	1
401	20	1
416	20	1
436	20	1
